Reading List ID,Google Books ID,Apple Books ID,ISBN-13,Title,Subtitle,Authors,Page Count,Publication Date,Publisher,Description,Subjects,Language Code,Started Reading,Paused,Finished Reading,Did Not Finish,Current Page,Current Percentage,Rating,Notes,Lists
0835A485-EE0E-4BEB-AA01-B59F7118F9FC,XL_jAwAAQBAJ,,9781439159866,The Emerald Mile,The Epic Story of the Fastest Ride in History Through the Heart of the Grand Canyon,"Fedarko, Kevin",417,,Simon and Schuster,"From one of Outside magazine’s “Literary All-Stars” comes the thrilling true tale of the fastest boat ride ever, down the entire length of the Colorado River and through the Grand Canyon, during the legendary flood of 1983.

In the spring of 1983, massive flooding along the length of the Colorado River confronted a team of engineers at the Glen Canyon Dam with an unprecedented emergency that may have resulted in the most catastrophic dam failure in history. In the midst of this crisis, the decision to launch a small wooden dory named “The Emerald Mile” at the head of the Grand Canyon, just fifteen miles downstream from the Glen Canyon Dam, seemed not just odd, but downright suicidal.

The Emerald Mile, at one time slated to be destroyed, was rescued and brought back to life by Kenton Grua, the man at the oars, who intended to use this flood as a kind of hydraulic sling-shot. The goal was to nail the all-time record for the fastest boat ever propelled—by oar, by motor, or by the grace of God himself—down the entire length of the Colorado River from Lee’s Ferry to Lake Mead. Did he survive? Just barely. Now, this remarkable, epic feat unfolds here, in The Emerald Mile.","20th Century; Adventurers & Explorers; Biography & Autobiography; Boating; History; Outdoor Skills; Southwest (AZ, NM, OK, TX); Sports & Recreation; State & Local; United States",en,,,,,,,,,
C96EAF3A-250F-40C9-943A-4666F7AD7956,Kb_JDQAAQBAJ,,9781101974490,The Andromeda Strain,,"Crichton, Michael",304,,Knopf Doubleday Publishing Group,"First published fifty years ago, The Andromeda Strain redefined the science fiction genre, and immediately established Michael Crichton as one of the brightest voices in contemporary literature worldwide.

""I love anything Michael Crichton writes.""--Stephen King

A military space probe, sent to collect extraterrestrial organisms from the upper atmosphere, is knocked out of orbit and falls to Earth. Twelve miles from the crash site, an inexplicable and deadly phenomenon terrorizes the residents of a sleepy desert town in Arizona, leaving only two survivors: an elderly addict and a newborn infant.

The United States government is forced to mobilize Project Wildfire, a top-secret emergency response protocol. Four of the nation's most elite biophysicists are summoned to a clandestine underground laboratory located five stories beneath the desert and fitted with an automated atomic self-destruction mechanism for cases of irremediable contamination. Under conditions of total news blackout and the utmost urgency, the scientists race to understand and contain the crisis. But the Andromeda Strain proves different from anything they've ever seen--and what they don't know could not only hurt them, but lead to unprecedented worldwide catastrophe.",Apocalyptic & Post-Apocalyptic; Fiction; Medical; Science Fiction; Technological; Thrillers,en,,,,,,,,,
E30369B9-7FCA-4BA5-A6C4-C2C6B53BEC68,bxYMEAAAQBAJ,,9781612198552,How to Do Nothing,Resisting the Attention Economy,"Odell, Jenny",256,,Melville House,"** A New York Times Bestseller **

A complex, smart and ambitious book that at first reads like a self-help manual, then blossoms into a wide-ranging political manifesto.--Jonah Engel Bromwich, The New York Times Book Review

One of President Barack Obama's Favorite Books of 2019

NAMED ONE OF THE BEST BOOKS OF THE YEAR BY: Time - The New Yorker - NPR - GQ - Elle - Vulture - Fortune - Boing Boing - The Irish Times - The New York Public Library - The Brooklyn Public Library

Porchlight's Personal Development & Human Behavior Book of the Year

In a world where addictive technology is designed to buy and sell our attention, and our value is determined by our 24/7 data productivity, it can seem impossible to escape. But in this inspiring field guide to dropping out of the attention economy, artist and critic Jenny Odell shows us how we can still win back our lives.

Odell sees our attention as the most precious--and overdrawn--resource we have. And we must actively and continuously choose how we use it. We might not spend it on things that capitalism has deemed important ... but once we can start paying a new kind of attention, she writes, we can undertake bolder forms of political action, reimagine humankind's role in the environment, and arrive at more meaningful understandings of happiness and progress.

Far from the simple anti-technology screed, or the back-to-nature meditation we read so often, How to do Nothing is an action plan for thinking outside of capitalist narratives of efficiency and techno-determinism. Provocative, timely, and utterly persuasive, this book will change how you see your place in our world.",ART; Commentary & Opinion; Computers; Digital; Environmental Conservation & Protection; NATURE; Political Science; Social Aspects; Technology & Engineering,en,,,,,,,,,
7AB8588C-6963-4EAE-8EFE-0494D8AA0009,Gz5Jhh-BkO4C,,9781429966054,The Memory of Earth,Homecoming: Volume 1,"Card, Orson Scott",336,,Tom Doherty Associates,"The first volume in the Homecoming saga from bestselling author Orson Scott Card, The Memory of Earth

High above the planet Harmony, the Oversoul watches. Its task, programmed so many millennia ago, is to guard the human settlement on this planet--to protect this fragile remnant of Earth from all threats. To protect them, most of all, from themselves.

The Oversoul has done its job well. There is no war on Harmony. There are no weapons of mass destruction. There is no technology that could lead to weapons of war. By control of the data banks, and subtle interference in the very thoughts of the people, the artificial intelligence has fulfilled its mission.

But now there is a problem. In orbit, the Oversoul realizes that it has lost access to some of its memory banks, and some of its power systems are failing. And on the planet, men are beginning to think about power, wealth, and conquest.

Homecoming series
The Memory of Earth
The Call of Earth
The Ships of Earth
Earthfall
Earthborn

At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",Fiction; Science Fiction; Space Opera,en,,,,,,,,,
BD288203-E191-48A9-A0A4-EB0C262327FA,DtCvAC94ZbUC,,9780140447903,The Bhagavad Gita,,"Patton, Laurie L.",234,,Penguin Books Limited,"The Bhagavad Gita is an early epic poem that recounts the conversation between Arjuna the warrior and his charioteer Krishna, the manifestation of God. In the moments before a great battle, the dialogue sets out the important lessons Arjuna must learn to change the outcome of the war he is to fight, and culminates in Krishna revealing to the warrior his true cosmic form, counselling him to search for the universal perfection of life. Ranging from instructions on yoga postures to dense moral discussion, the Gita is one of the most important Hindu texts, as well as serving as a practical guide to living well.

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",Hinduism; Religion; Sacred Writings,en,,,,,,,,,
2558EA39-3AFB-4216-9FF8-38AF8F346D8C,J3o9vHvOn08C,,9780140441314,Dao de Jing,,"Laozi; Tzu, Lao",191,,Penguin Books Limited,"Traditionally attributed to Lao Tzu, an older contemporary of Confucius (551 - 479 BC), it is now thought that the work was compiled in about the fourth century BC. An anthology of wise sayings, it offers a model by which the individual can live rather than explaining the human place in the universe. The moral code it encourages is based on modesty and self-restraint, and the rewards reaped for such a life are harmony and flow of life.",Ancient & Classical; Philosophy; Poetry; Religion; Taoism,en,,,,,,,,,
1A730C79-011E-4304-9D65-F94227E839EB,bAVUPwAACAAJ,,9781439515549,The Koran,,"Dawood, N. J.",455,,Paw Prints,The holy scriptures of Islam present a record of the prophet Muhammad's oral teaching delivered in the seventh century.,Religion,en,,,,,,,,,
0294BDFE-CCA6-45B3-8329-19BA1E22859D,kzW9jMBFxXcC,,9780140449419,The Dhammapada,,"Roebuck, Valerie J.",246,,Penguin Adult,"One of the best-known and best-loved works of Buddhist literature, the Dhammapada forms part of the oldest surviving body of Buddhist writings, and is traditionally regarded as the authentic teachings of the Buddha himself, spoken by him in his lifetime, and memorized and handed on by his followers after his death. A collection of simple verses gathered in themes such as 'awareness', 'fools' and 'old age', the Dhammapada is accessible, instructional and mind-clearing, with lessons in each verse to give ethical advice and to remind the listener of the transience of life.

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",Buddhism; Religion; Sacred Writings,en,,,,,,,,,
C4FB71DE-B24E-4D9A-A2B2-01E3C57CEF85,wRxoDgAAQBAJ,,9780316440899,Jade City,,"Lee, Fonda",600,,Orbit,"In this World Fantasy Award-winning novel of magic and kungfu, four siblings battle rival clans for honor and power in an Asia-inspired fantasy metropolis.

*Named one of TIME's Top 100 Fantasy Books Of All Time
* World Fantasy Award for Best Novel, winner

Jade is the lifeblood of the island of Kekon. It has been mined, traded, stolen, and killed for -- and for centuries, honorable Green Bone warriors like the Kaul family have used it to enhance their magical abilities and defend the island from foreign invasion.

Now, the war is over and a new generation of Kauls vies for control of Kekon's bustling capital city. They care about nothing but protecting their own, cornering the jade market, and defending the districts under their protection. Ancient tradition has little place in this rapidly changing nation.

When a powerful new drug emerges that lets anyone -- even foreigners -- wield jade, the simmering tension between the Kauls and the rival Ayt family erupts into open violence. The outcome of this clan war will determine the fate of all Green Bones -- and of Kekon itself.

Praise for Jade City: 

""An epic drama reminiscent of the best classic Hong Kong gangster films but set in a fantasy metropolis so gritty and well-imagined that you'll forget you're reading a book."" --Ken Liu, Hugo, Nebula, and World Fantasy Award-winning author

""A beautifully realized setting, a great cast of characters, and dramatic action scenes. What a fun, gripping read!"" --Ann Leckie, Hugo, Nebula, and Arthur C. Clarke Award-winning author

""An instantly absorbing tale of blood, honor, family and magic, spiced with unexpectedly tender character beats."" --NPR

The Green Bone Saga
Jade City
Jade War
Jade Legacy",Action & Adventure; Crime; Epic; Fantasy; Fiction; Historical; Thrillers; Urban,en,,,,,,,,,
1B79B790-98DC-4F50-8102-9C19C5EAFBE9,tbP7DwAAQBAJ,,9780316539876,The Shadow of the Gods,,"Gwynne, John",528,,Orbit,"""A masterfully crafted, brutally compelling Norse-inspired epic."" —Anthony Ryan

THE GREATEST SAGAS ARE WRITTEN IN BLOOD.

A century has passed since the gods fought and drove themselves to extinction. Now only their bones remain, promising great power to those brave enough to seek them out.

As whispers of war echo across the land of Vigrid, fate follows in the footsteps of three warriors: a huntress on a dangerous quest, a noblewoman pursuing battle fame, and a thrall seeking vengeance among the mercenaries known as the Bloodsworn.

All three will shape the fate of the world as it once more falls under the shadow of the gods.

Set in a brand-new, Norse-inspired world, and packed with myth, magic, and vengeance, The Shadow of the Gods begins an epic new fantasy saga from bestselling author John Gwynne.",Action & Adventure; Dragons & Mythical Creatures; Epic; Fantasy; Fiction,en,,,,,,,,,
